,Total reported direct emissions from Local Distribution Companies,Nitrous Oxide (N2O) emissions ,Methane (CH4) emissions ,CO2 emissions (non-biogenic) ,Does the facility employ continuous emissions monitoring? ,Reported County,Reported State,County_Emissions,County,State,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
110,24468.5,,24439.0,29.5,N,OKALOOSA COUNTY,FL,OKALOOSA COUNTY,AUTAUGA COUNTY,AL,0.5,1.2,20.1,3.0,0.1,1.9,76.3,73.8
111,148826.7,,148647.5,179.2,N,OKLAHOMA COUNTY,OK,OKLAHOMA COUNTY,AVERY COUNTY,NC,0.6,0.6,4.7,5.1,0.1,1.1,92.9,88.5
112,279593.6,,279257.0,336.6,N,SAN FRANCISCO COUNTY,CA,SAN FRANCISCO COUNTY,AVOYELLES PARISH,LA,1.2,0.5,29.8,2.1,0.1,2.0,66.4,64.9
113,110208.6,,108425.0,1783.6,N,PHILADELPHIA COUNTY,PA,PHILADELPHIA COUNTY,BACA COUNTY,CO,2.1,0.4,1.1,11.3,-1.0,2.8,93.6,83.9
114,528490.342,1.192,525494.75,2994.4,N,ESSEX COUNTY,NJ,ESSEX COUNTY,BACON COUNTY,GA,0.4,0.8,16.2,8.6,0.2,1.8,80.7,73.4
115,54606.95,,54541.25,65.7,N,GASTON COUNTY,NC,GASTON COUNTY,BAILEY COUNTY,TX,3.4,0.9,2.1,64.0,0.1,1.4,92.1,33.0
116,0.0,,,0.0,N,HENRY COUNTY,TN,HENRY COUNTY,BAKER COUNTY,FL,0.5,0.7,14.2,2.8,0.0,1.9,82.7,80.4
117,47487.7,,47430.5,57.2,N,YORK COUNTY,PA,YORK COUNTY,BAKER COUNTY,GA,0.5,1.2,44.0,6.4,0.1,1.3,52.9,47.9
118,213317.05,,213060.25,256.8,N,ALLEGHENY COUNTY,PA,ALLEGHENY COUNTY,BAKER COUNTY,OR,1.6,0.9,0.7,4.7,0.1,3.0,93.7,89.7
119,261041.94,1.49,258230.75,2809.7,N,PHILADELPHIA COUNTY,PA,PHILADELPHIA COUNTY,BALDWIN COUNTY,AL,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2
120,148094.7,59.6,84940.0,63095.1,N,MECKLENBURG COUNTY,NC,MECKLENBURG COUNTY,BALDWIN COUNTY,GA,0.3,1.7,42.5,2.3,0.1,1.3,54.0,52.4
121,17361.5,,17337.5,24.0,N,MECKLENBURG COUNTY,NC,MECKLENBURG COUNTY,BALLARD COUNTY,KY,0.4,0.5,3.4,1.5,0.1,2.4,93.2,92.0
122,44990.7,,42143.5,2847.2,N,MECKLENBURG COUNTY,NC,MECKLENBURG COUNTY,BALTIMORE COUNTY,MD,0.4,6.3,30.3,5.8,0.1,2.6,60.2,55.8
123,193670.7,,193437.5,233.2,N,DENVER COUNTY,CO,DENVER COUNTY,BALTIMORE CITY,MD,0.3,2.6,62.4,5.3,0.0,2.5,30.5,27.5
124,64595.446,0.596,63267.75,1327.1,N,KING COUNTY,WA,KING COUNTY,BAMBERG COUNTY,SC,0.4,0.5,60.3,2.3,0.1,1.1,37.6,36.2
125,29663.45,,29627.75,35.7,N,MONROE COUNTY,NY,MONROE COUNTY,BANDERA COUNTY,TX,1.3,0.6,1.1,19.8,0.0,1.6,95.3,76.7
126,828.15,,827.25,0.9,N,ROCK COUNTY,WI,ROCK COUNTY,BANKS COUNTY,GA,0.6,1.1,2.9,7.2,0.1,1.6,93.8,87.3
127,54514.35,,54448.75,65.6,N,SAN DIEGO COUNTY,CA,SAN DIEGO COUNTY,BANNER COUNTY,NE,0.3,0.3,1.3,5.8,-1.0,0.5,97.6,91.8
128,44885.5,,44831.5,54.0,N,LEXINGTON COUNTY,SC,LEXINGTON COUNTY,BANNOCK COUNTY,ID,3.8,1.6,1.1,8.9,0.3,2.6,90.6,83.4
129,35698.892,1.192,34167.0,1530.7,N,ST. CLAIR COUNTY,MI,ST. CLAIR COUNTY,BARAGA COUNTY,MI,14.3,0.4,8.0,1.7,0.0,4.6,72.7,72.0
130,1255796.9,,1254285.0,1511.9,N,LOS ANGELES COUNTY,CA,LOS ANGELES COUNTY,BARBER COUNTY,KS,1.4,0.5,1.0,4.7,0.0,1.9,95.2,91.3
131,1416.2,,1414.5,1.7,N,,MD,,BARBOUR COUNTY,AL,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5
132,50302.694,0.894,48848.5,1453.3,N,ATLANTIC COUNTY,NJ,ATLANTIC COUNTY,BARBOUR COUNTY,WV,0.6,0.3,1.0,1.1,0.0,1.5,96.5,95.5
133,102612.542,1.192,100582.75,2028.6,N,NEW HAVEN COUNTY,CT,NEW HAVEN COUNTY,BARNES COUNTY,ND,1.1,0.9,1.8,2.2,0.1,1.8,94.2,92.5
134,22494.6,,22467.5,27.1,N,VANDERBURGH COUNTY,IN,VANDERBURGH COUNTY,BARNSTABLE COUNTY,MA,0.7,1.6,3.5,3.4,0.1,2.0,92.2,89.5
135,93945.0,,93832.0,113.0,N,CLARK COUNTY,NV,CLARK COUNTY,BARNWELL COUNTY,SC,0.7,1.0,43.9,2.7,0.0,1.7,52.7,50.8
136,15053.0,,15035.0,18.0,N,CLARK COUNTY,NV,CLARK COUNTY,BARREN COUNTY,KY,0.4,0.8,4.2,3.4,0.2,1.8,92.6,90.0
137,44579.1,,44525.5,53.6,N,CLARK COUNTY,NV,CLARK COUNTY,BARRON COUNTY,WI,1.1,0.7,1.6,2.6,0.0,1.3,95.3,93.0
138,156817.5,,156630.0,187.5,N,JEFFERSON COUNTY,AL,JEFFERSON COUNTY,BARROW COUNTY,GA,0.6,4.0,12.9,12.2,0.1,2.5,80.0,69.4
